budget(in million),revenue(in million),content_score,user_score,genres,director,release_year,release_month,release_day,release_weekday,run_time (in minuts),title,url
70.0,105.70257,100,70,"History,Drama",Damien Chazelle,2018,10,12,4,141,First Man,https://www.themoviedb.org/movie/369972
15.0,164.0,100,78,"Action,Drama,History",William Wyler,1969,3,26,2,222,Ben-Hur,https://www.themoviedb.org/movie/665
15.0,47.737094,100,42,"Mystery,Thriller,Horror",Joe Berlinger,2000,10,27,4,90,Book of Shadows: Blair Witch 2,https://www.themoviedb.org/movie/11531
11.0,39.055536,100,68,Comedy,Stephen Merchant,2019,2,22,4,108,Fighting With My Family,https://www.themoviedb.org/movie/445629
nan,nan,100,78,"Action,Adventure,Drama,Fantasy",Keishi Ōtomo,2014,9,13,5,135,Rurouni Kenshin Part III: The Legend Ends,https://www.themoviedb.org/movie/221732
12.0,114.194847,100,69,"Music,Drama,Romance,Crime",Duane Adler,2006,8,11,4,104,Step Up,https://www.themoviedb.org/movie/9762
nan,nan,100,71,"Crime,Thriller",Rodrigo Grande,2016,10,6,3,120,At the End of the Tunnel,https://www.themoviedb.org/movie/394374
40.0,109.676311,100,82,"Drama,Mystery,Thriller",Christopher Nolan,2006,10,19,3,130,The Prestige,https://www.themoviedb.org/movie/1124
nan,nan,79,38,"Thriller,Drama",Edward Pionke,2012,1,1,6,94,Mother's Milk,https://www.themoviedb.org/movie/303682
125.0,544.272402,100,65,"Action,Adventure,Science Fiction,Thriller",Roland Emmerich,2004,5,28,4,124,The Day After Tomorrow,https://www.themoviedb.org/movie/435
25.0,84.618541,100,67,"Crime,Comedy",Zach Braff,2017,4,7,4,96,Going in Style,https://www.themoviedb.org/movie/353070
10.0,nan,100,56,"Action,Thriller,Crime",Steven C. Miller,2017,7,21,4,97,First Kill,https://www.themoviedb.org/movie/410554
nan,nan,100,63,Comedy,Rob Schneider,2007,6,6,2,105,Big Stan,https://www.themoviedb.org/movie/13161
35.0,24.159934,100,55,"Comedy,Romance",David Wain,2012,2,24,4,98,Wanderlust,https://www.themoviedb.org/movie/50647
nan,nan,86,60,"Comedy,Romance",Pascal Elbé,2021,11,17,2,93,Hear Me Out,https://www.themoviedb.org/movie/809733
nan,nan,100,65,"Comedy,Drama,Romance",Courteney Cox,2015,4,24,4,95,Just Before I Go,https://www.themoviedb.org/movie/258099
nan,nan,100,45,"Action,Thriller",Damian Lee,2013,9,17,1,89,Breakout,https://www.themoviedb.org/movie/218329
58.0,100.541806,100,64,"Horror,Science Fiction,Thriller",Daniel Espinosa,2017,3,24,4,104,Life,https://www.themoviedb.org/movie/395992
9.0,78.988148,100,75,Drama,Kenneth Lonergan,2016,12,16,4,138,Manchester by the Sea,https://www.themoviedb.org/movie/334541
